"Timestamp","Actor","Behavior","Recipient","Location","Observer","Comment"
"8/31/2015 14:28:10","2","Fighting, Chasing","11","UL, ML, LL, UR","CW",""
"8/31/2015 14:29:21","2","Fighting, Chasing","1","UL, UR, MR, LR","CW",""
"8/31/2015 14:30:59","2","Fighting","7","NB3","CW",""
"8/31/2015 14:33:57","2","Fighting","12","NB2","CW",""
"8/31/2015 14:34:33","2","Fighting","4","NB2","CW",""
"8/31/2015 14:39:59","10","Chasing","1","UL, ML","CW",""
"8/31/2015 14:43:31","2","Fighting","10","UR, MR","CW",""
"8/31/2015 14:44:00","2","Fighting","11","UL, ML","CW",""
"8/31/2015 14:47:05","2","Fighting, Chasing","9","UL, ML, UR","CW",""
"8/31/2015 14:47:26","2","Chasing","1","LR, NB3, NB4","CW",""
"8/31/2015 14:48:28","2","Chasing","12","UL, UR, MR","CW",""
"8/31/2015 14:50:50","2","Chasing","6","MR, LR, NB3, NB4","CW",""
"8/31/2015 14:53:07","2","Fighting, Chasing","12","NB1, NB2","CW",""
"8/31/2015 15:00:12","End","End","End","End","CW",""
"8/31/2015 16:57:01","Start","Start","Start","Start","WL",""
"8/31/2015 17:39:40","11","Fighting, Chasing","4","UR","WL",""
"8/31/2015 17:39:50","11","Fighting, Chasing","9","UL","WL",""
"8/31/2015 17:39:59","11","Fighting, Chasing","7","MR","WL",""
"8/31/2015 17:41:45","9","Fighting","4","LL","WL",""
"8/31/2015 17:43:51","11","Fighting, Chasing","4","UR","WL",""
"8/31/2015 17:44:15","11","Fighting, Chasing, Subordinate","12","UL","WL",""
"8/31/2015 17:44:25","11","Fighting, Chasing","9","MR","WL",""
"8/31/2015 17:58:54","Start","Start","Start","Start","WL",""
"8/31/2015 18:01:27","2","Fighting, Chasing","3","NB3","WL",""
"8/31/2015 18:04:04","2","Induce-flee","3","UL","WL",""
"8/31/2015 18:04:14","2","Fighting, Chasing","1","UL","WL",""
"8/31/2015 18:04:36","2","Fighting, Chasing, Subordinate","3","UL","WL",""
"8/31/2015 18:12:31","2","Chasing","10","UL","WL",""
"8/31/2015 18:12:49","2","Fighting, Chasing","3","UR","WL",""
"8/31/2015 18:13:38","2","Chasing","4","ML","WL",""
"8/31/2015 18:14:10","2","Chasing","7","MR","WL",""
"8/31/2015 18:16:44","2","Fighting, Chasing","4","UL","WL",""
"8/31/2015 18:20:31","2","Fighting","10","UL","WL",""
"8/31/2015 18:22:47","2","Fighting","3, 4","UL","WL",""
"8/31/2015 18:24:51","2","Fighting, Chasing","4","NB3","WL",""
"8/31/2015 18:31:44","2","Fighting, Chasing","3, 4","UL","WL",""
"8/31/2015 18:32:32","2","Fighting, Chasing, Subordinate","3","UR","WL",""
"8/31/2015 18:34:56","2","Fighting, Chasing","12","MR","WL",""
"8/31/2015 18:35:29","2","Fighting","3","NB3","WL",""
"8/31/2015 18:37:23","2","Induce-flee","4","UR","WL",""
"8/31/2015 18:37:37","2","Fighting, Chasing","1","UL","WL",""
"8/31/2015 18:42:54","2","Fighting, Chasing","4","UR","WL",""
"8/31/2015 18:48:18","2","Fighting, Chasing","4","UL","WL",""
"8/31/2015 18:48:32","2","Fighting, Chasing","1","UL","WL",""
"8/31/2015 18:51:55","9","Fighting, Chasing","3","MR","WL",""
"8/31/2015 18:58:23","11","Chasing","9","UL","WL",""
"8/31/2015 18:59:33","11","Chasing","10","UR","WL",""
"8/31/2015 18:59:42","9","Fighting","4","UL","WL",""
"8/31/2015 19:01:49","9","Fighting, Chasing","4","UR","WL",""
"8/31/2015 19:02:40","9","Fighting, Chasing","12","UL","WL","Petebtrsis"
"8/31/2015 19:03:57","11","Induce-flee","9","MR","WL",""
"8/31/2015 19:05:42","2","Chasing","9","MR","WL",""
"8/31/2015 19:05:50","End","End","End","End","WL",""
"9/1/2015 17:01:18","Start","Start","Start","Start","BN",""
"9/1/2015 17:08:29","11","Fighting","10","UL","BN",""
"9/1/2015 17:08:41","11","Chasing","5","UL, UR","BN",""
"9/1/2015 17:08:58","11","Fighting","10","UL","BN",""
"9/1/2015 17:12:35","11","Fighting","3","NB4","BN",""
"9/1/2015 17:18:48","2","Fighting","6","UR","BN",""
"9/1/2015 17:18:58","2","Induce-flee","11","UR","BN",""
"9/1/2015 17:36:42","2","Induce-flee","4","UR","BN",""
"9/1/2015 18:00:36","End","End","End","End","BN",""
"9/2/2015 13:00:40","Start","Start","Start","Start","CW",""
"9/2/2015 13:03:56","2","Fighting, Chasing","4","UL, UR","CW",""
"9/2/2015 13:04:05","2","Fighting, Chasing","10","UR, MR","CW",""
"9/2/2015 13:07:18","2","Fighting, Chasing","1","UR, MR","CW",""
"9/2/2015 13:07:30","2","Fighting, Chasing","9","UL, ML, LL","CW",""
"9/2/2015 13:08:00","2","Fighting","7","NB3","CW",""
"9/2/2015 13:09:26","2","Fighting","3","NB1","CW",""
"9/2/2015 13:10:36","2","Fighting","4","NB5","CW",""
"9/2/2015 13:11:09","2","Fighting, Chasing","7","NB4, NB5","CW",""
"9/2/2015 13:15:49","2","Fighting","1","NB3","CW",""
"9/2/2015 13:16:01","2","Fighting, Chasing","4","MR, LR, NB2","CW",""
"9/2/2015 13:20:13","2","Fighting","11","NB2","CW",""
"9/2/2015 13:22:24","8","Fighting","11","NB4","CW",""
"9/2/2015 13:23:20","8","Fighting","4","LR","CW",""
"9/2/2015 13:24:35","11","Chasing","9","LL, NB3","CW",""
"9/2/2015 13:28:42","8","Fighting","1, 6, 11","NB4","CW",""
"9/2/2015 13:35:52","8","Fighting","11","UR","CW",""
"9/2/2015 13:36:28","2","Fighting, Chasing","8","LL, LR","CW",""
"9/2/2015 13:40:00","2","Fighting","4","NB5","CW",""
"9/2/2015 13:42:17","2","Fighting, Chasing","8","MR, LR, NB3","CW",""
"9/2/2015 13:45:23","2","Fighting","9","UR","CW",""
"9/2/2015 13:45:44","2","Fighting","12","NB5","CW",""
"9/2/2015 13:49:36","2","Fighting, Chasing","5","UL, ML, UR, MR","CW",""
"9/2/2015 13:49:47","2","Fighting, Chasing","11","UL, ML, LL","CW",""
"9/2/2015 13:55:57","8","Chasing","7","LL, NB1, NB2, NB4, NB5","CW",""
"9/2/2015 14:00:11","End","End","End","End","CW",""
"9/3/2015 13:00:37","Start","Start","Start","Start","CW",""
"9/3/2015 13:04:37","8","Fighting","6","NB4","CW",""
"9/3/2015 13:06:23","2","Fighting","7","NB3","CW",""
"9/3/2015 13:07:03","2","Fighting","4","UL","CW",""
"9/3/2015 13:08:36","2","Fighting, Chasing","10","UL, ML, MR","CW",""
"9/3/2015 13:09:22","8","Fighting","11","NB3, NB4","CW",""
"9/3/2015 13:09:45","8","Fighting","5","NB4","CW",""
"9/3/2015 13:10:25","2","Fighting","8","NB5","CW",""
"9/3/2015 13:10:43","2","Fighting, Chasing","7","NB3, NB4, NB5","CW",""
"9/3/2015 13:13:37","8","Fighting","4","UR","CW",""
"9/3/2015 13:14:23","2","Fighting, Chasing","4","LL, LR, NB3","CW",""
"9/3/2015 13:25:07","2","Fighting","6, 8","NB5","CW",""
"9/3/2015 13:25:26","2","Fighting","12","NB3","CW",""
"9/3/2015 13:34:42","2","Chasing","6","LR, NB3, NB4","CW",""
"9/3/2015 13:35:07","2","Chasing","9","UR, MR, LR","CW",""
"9/3/2015 13:46:57","2","Fighting","6","NB3","CW",""
"9/3/2015 13:47:36","2","Chasing","10","UR","CW",""
