Timestamp,Actor,Behavior,Recipient,Location,Observer,Comment,Outside assigned observation time
8/27/2015 15:05:44,8,Chasing,3,UL,WL,,
8/27/2015 15:09:12,12,Chasing,9,MR,WL,,
8/27/2015 15:11:41,8,Induce-flee,12,UL,WL,,
8/27/2015 15:14:02,12,"Fighting, Chasing",9,UR,WL,,
8/27/2015 15:16:21,7,"Fighting, Chasing",3,NB4,WL,,
8/27/2015 15:16:53,8,Subordinate,3,NB2,WL,,
8/27/2015 15:18:06,8,Chasing,12,MR,WL,,
8/27/2015 15:19:14,5,Fighting,6,NB3,WL,,
8/27/2015 15:19:36,8,"Fighting, Chasing",10,MR,WL,,
8/27/2015 15:19:51,8,"Fighting, Chasing",10,UR,WL,,
8/27/2015 15:20:28,12,Fighting,"3, 11",NB3,WL,,
8/27/2015 15:20:42,12,Fighting,11,NB3,WL,,
8/27/2015 15:21:49,12,Fighting,11,UL,WL,,
8/27/2015 15:23:57,8,Chasing,3,MR,WL,,
8/27/2015 15:25:03,6,"Fighting, Chasing",7,ML,WL,,
8/27/2015 15:27:05,10,"Fighting, Chasing",6,UR,WL,,
8/27/2015 15:30:07,End,End,End,End,WL,,
8/27/2015 18:02:54,Start,Start,Start,Start,BN,,
8/27/2015 18:35:47,3,Fighting,5,LL,BN,,
8/27/2015 18:36:18,12,"Fighting, Subordinate",11,NB1,BN,,
8/27/2015 18:40:33,12,Chasing,11,UL,BN,,
8/27/2015 18:44:12,12,Fighting,11,UL,BN,,
8/27/2015 18:46:56,8,Fighting,6,NB3,BN,,
8/27/2015 18:47:50,12,Fighting,"1, 7",NB1,BN,,
8/27/2015 18:48:30,8,Fighting,11,NB2,BN,,
8/27/2015 19:02:27,End,End,End,End,BN,,
8/28/2015 17:02:00,Start,Start,Start,Start,WL,,
8/28/2015 17:11:39,7,"Fighting, Chasing, Subordinate",1,MR,WL,,
8/28/2015 17:15:02,2,"Fighting, Chasing, Subordinate",10,UL,WL,,
8/28/2015 17:15:21,2,"Fighting, Chasing",10,UL,WL,,
8/28/2015 17:16:10,12,"Fighting, Chasing",2,NB3,WL,,
8/28/2015 17:16:51,12,"Fighting, Chasing",2,UL,WL,,
8/28/2015 17:23:37,10,"Fighting, Chasing",7,UL,WL,hmmmmmm,
8/28/2015 17:25:30,7,"Fighting, Chasing",3,NB1,WL,,
8/28/2015 17:30:20,10,"Fighting, Chasing",10,UL,WL,"keep eye on 7, where in the hierarchy is he?",
8/28/2015 17:32:16,7,"Fighting, Chasing",3,ML,WL,,
8/28/2015 17:40:31,9,"Fighting, Chasing",3,UL,WL,,
8/28/2015 17:41:03,9,"Fighting, Chasing",3,UL,WL,,
8/28/2015 17:41:16,9,"Fighting, Chasing, Subordinate",10,UL,WL,,
8/28/2015 17:41:55,8,Subordinate,7,LL,WL,,
8/28/2015 17:44:02,8,"Chasing, Subordinate",3,LL,WL,,
8/28/2015 17:47:03,3,"Fighting, Chasing, Subordinate",5,NB4,WL,,
8/28/2015 17:47:52,8,"Fighting, Chasing, Subordinate",3,NB2,WL,,
8/28/2015 17:55:48,8,Chasing,6,LR,WL,,
8/28/2015 17:58:38,5,"Fighting, Chasing",4,UL,WL,4 aggressively groomed 5 first,
8/28/2015 17:59:10,8,Chasing,6,MR,WL,,
8/28/2015 17:59:49,10,"Fighting, Chasing",7,UL,WL,,
8/28/2015 18:00:14,End,End,End,End,WL,,
8/28/2015 18:22:18,12,"Fighting, Subordinate",11,NB2,WL,intense,Yes
8/29/2015 20:01:06,Start,Start,Start,Start,BN,,
8/29/2015 20:05:29,5,Fighting,6,UL,BN,,
8/29/2015 20:06:33,1,Fighting,5,LR,BN,,
8/29/2015 20:27:18,2,Fighting,5,ML,BN,most mice sleeping,
8/29/2015 20:45:24,3,Fighting,2,NB4,BN,,
8/29/2015 21:00:49,End,End,End,End,BN,sleepy mice -_- ,
8/30/2015 17:25:31,Start,Start,Start,Start,WL,,
8/30/2015 17:25:48,12,"Fighting, Chasing, Subordinate",12,NB5,WL,,
8/30/2015 17:27:49,8,"Chasing, Subordinate",6,LR,WL,,
8/30/2015 17:29:08,8,"Fighting, Chasing, Subordinate",10,LR,WL,,
